name,hex,description,context,category,year,country,influence,recognition,maindescription
Vodafone,#E60000,통신 브랜드의 빨간색,글로벌 커뮤니케이션,brand,1984,영국,7.0,7.5,"'Voi-Da-Fone'이라는 이름처럼 목소리와 데이터를 연결한 이 빨간색. 이동통신 시대의 개척자로서 전 세계 사람들을 연결하며, 국경을 넘나드는 디지털 소통 혁명의 상징이 되었다."
Ferrari,#DC143C,럭셔리 스포츠카의 전통색,이탈리아 레이싱 헤리티지,brand,1947,이탈리아,8.8,9.0,모데나의 작은 공장에서 시작된 꿈이 세계 최고 슈퍼카 브랜드가 되기까지. '로쏘 코르사'라 불리는 이 빨간색은 속도에 대한 인간의 욕망과 이탈리아 장인정신이 만나 탄생한 열정의 결정체다.
베트남,#DA020E,베트남 사회주의 공화국 국기,호치민 사상,political,1945,베트남,7.5,7.8,"미군과 30년간 싸워 승리한 작은 나라의 붉은 깃발. 호치민의 독립 의지와 베트남 전쟁의 상흔을 동시에 담고 있으며, 오늘날 개방된 사회주의 경제 모델의 실험장이 되고 있다."
쿠바,#CF142B,쿠바 공화국 국기의 빨간색,카스트로 혁명,political,1902,쿠바,6.8,7.2,카리브해의 작은 섬나라가 미국에 맞선 혁명의 상징색. 체 게바라와 피델 카스트로의 이상이 담긴 이 빨간색은 반제국주의 투쟁과 라틴 아메리카 좌파 운동의 영감이 되었다.
Marlboro,#DC143C,담배 브랜드의 상징적 빨간색,마초 마케팅,brand,1924,미국,7.2,8.5,"여성용 담배에서 카우보이의 상징으로 완전히 탈바꿈한 마케팅의 전설. 이 빨간색은 남성성과 자유로운 서부 개척정신을 팔았지만, 동시에 금연 운동과 건강 논쟁의 중심에 서게 되었다."
KFC,#F40027,프라이드 치킨 브랜드,패스트푸드 글로벌라이제이션,brand,1952,미국,8.0,8.3,켄터키 주 시골에서 시작된 할아버지의 레시피가 전 세계를 정복한 이야기. 11가지 허브와 향신료의 비밀과 함께 이 빨간색은 미국 남부 요리를 글로벌 패스트푸드로 변신시킨 문화 혁명의 상징이다.
Red Scare 포스터,#B22222,냉전기 미국 내 공산주의 공포를 시각화한 포스터,공포와 선전의 상징,political,1950,미국,7.8,8.2,"공산주의의 확산에 대한 대중적 두려움을 조장하기 위해, 강렬한 붉은색이 위협과 동의어가 되었다."
MAGA 캠페인,#C8102E,트럼프 캠페인의 대표 색상,국가주의와 보수주의의 시각적 정체성,political,2016,미국,8.5,9.0,"빨간 모자가 미국 우선주의의 상징이 되었을 때, 빨강은 또다시 강한 감정의 도구가 되었다."
Supreme,#E50000,스트리트 패션과 소비주의의 아이콘,자본주의적 반항,brand,1994,미국,7.6,8.9,"반항을 파는 브랜드, Supreme의 빨강은 오히려 체제 안에서 가장 잘 팔리는 반체제다."
AIDS Awareness Ribbon,#CC0000,감염자 연대와 인권을 상징하는 빨간 리본,공감과 행동의 상징,symbolic,1991,미국,7.2,8.0,"희생의 빨강이 동정의 빨강으로, 그리고 행동의 빨강으로 전환된 사례."
Netflix,#E50914,전 세계적 콘텐츠 플랫폼,디지털 소비의 심볼,brand,2007,미국,9.0,9.3,"화면의 어둠 속에서 빛나는 이 빨간 로고는, 현대인의 야경과 같다."
KFC,#E4002B,전통적 브랜드 컬러로서의 빨강,글로벌 패스트푸드 상징,brand,1952,미국,8.0,8.8,정체성의 유산으로 남은 빨강. 맛과 함께 기억되는 시각적 자산이다.
Tide 세제 광고,#F25F1C,가사노동과 소비욕망을 자극하는 색상,가정의 빨강,commercial,2000,미국,6.5,8.1,주부의 눈길을 사로잡기 위한 전략적 빨강. 깨끗함과 공격성의 묘한 중간.
Red Bull,#D91A2A,에너지와 충동을 자극하는 브랜드 컬러,속도와 경쟁의 상징,brand,1987,오스트리아,8.3,9.1,"자본주의가 에너지로 구현될 수 있다면, 그것은 이 빨간색일 것이다."
UNIQLO,#B50000,미니멀한 일본 브랜드의 시그니처 컬러,대중성과 합리성의 상징,brand,1984,일본,7.0,8.4,소리 없이 퍼지는 글로벌화의 색. 빨강은 이제 유니폼이 되었다.
Nike Air Max 캠페인,#EB1C24,스포츠와 소비욕망의 융합,광고와 경쟁의 시각화,commercial,1987,미국,8.8,9.2,속도와 젊음을 빨간 곡선으로 표현한 상업적 예술.
프랑스 혁명기 붉은 모자,#990000,자유와 혁명의 상징이었던 붉은 프리지안 캡,혁명의 상징,political,1790,프랑스,7.9,7.7,피를 상징하는 이 모자는 자유와 해방의 초상으로 남았다.
H&M 세일 광고,#D70000,가격 인하를 시각적으로 강조하기 위한 빨강,소비 자극,commercial,2010,스웨덴,6.9,8.3,할인을 말할 필요조차 없는 색상. 시각적 경고와 유혹 사이.
도요타 로고,#D00000,신뢰성과 강인함의 상징색,기술과 내구성의 결합,brand,1989,일본,8.1,8.6,속도와 기술력의 일본적 상징. 단순한 색이 아닌 정체성이다.
Marvel Studios,#E62429,슈퍼히어로 문화의 상징색,문화 자본,brand,2008,미국,9.1,9.7,정의와 폭력을 함께 담은 히어로 신화의 빨강. 상업과 도덕의 접점.
Coca-Cola 크리스마스 광고,#F40000,감성 마케팅의 전형,정서적 자본주의,brand,1931,미국,9.0,9.5,산타클로스와 함께한 이 빨강은 이제 겨울의 일부다.
노스페이스,#C80F1F,탐험과 도시에 모두 어울리는 색,브랜드와 모험의 결합,brand,1966,미국,7.5,8.2,"고산과 골목, 모두를 아우르는 도시적 생존의 빨강."
